query_id;query_variant;mode;model;rank;returned_title;returned_url_or_doi;matched_dataset_id;match_method;link_valid;source_dataset_id;is_source_dataset;is_strict_source_dataset;is_title_source_dataset;is_gesis_relevant_dataset;is_strict_gesis_relevant_dataset;is_title_gesis_relevant_dataset;title_identifier_conflict;justification
10;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women);https://doi.org/10.4232/1.6370;ZA6370;doi;True;ZA6370;1;1;1;1;1;1;0;This dataset is archived at the GESIS Data Archive under Study Number ZA6370 and contains data from the 1988/89 additional survey on sterile women regarding partnership conflicts and psychosomatic gynecological illnesses.
11;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Sexual Conduct of Men and Women in the Federal Republic of Germany 1989;https://doi.org/10.4232/1.2235;ZA2235;doi;True;ZA2235;1;1;1;1;1;1;0;This dataset, cataloged by the GESIS Data Archive under study number ZA2235 (German title: Sexualverhalten von Männern und Frauen in der Bundesrepublik Deutschland 1989), captures survey data on sexual conduct and attitudes of men and women in West Germany in 1989.
12;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;'Arma sunt necessaria' (Arms are necessary) Guns, Gun Culture and Cultural Origins of the Second Amendment to the U.S. Constitution;https://doi.org/10.4232/1.8413;ZA8413;doi;True;ZA8413;1;1;1;1;1;1;0;This dataset is archived in the GESIS data repository under DOI 10.4232/1.8413 and contains historical research data corresponding to the requested title.
13;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;A Survey of Europe Today (Finnland);https://doi.org/10.4232/1.1296;ZA1296;doi;True;ZA1296;1;1;1;1;1;1;0;This dataset, produced by Reader's Digest, London, covers household furnishings, consumer behavior, country image evaluation, and general attitudes toward the EEC in Finland. It is cataloged by GESIS Data Archive for the Social Sciences / CESSDA Data Catalogue under study number ZA1296.
14;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;College Education and Profession;https://doi.org/10.4232/1.1458;ZA1458;doi;True;ZA1458;1;1;1;1;1;1;0;This dataset, created by Walter Hornstein and Georg Kärtner, explores school and learning conditions of college graduates in Munich as well as their professional outcomes. It is archived and distributed by the GESIS Data Archive.
15;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;50 Years Federal Republic of Germany;https://datacatalogue.cessda.eu/;ZA3222;title_exact;False;ZA3222;1;0;1;1;0;1;0;This dataset (GESIS ZA Study No. 3222), conducted by the Institut für praxisorientierte Sozialforschung (IPOS) in 1999, surveys public opinion, political attitudes, judgements on democracy, and expectations regarding the future of Germany on the 50th anniversary of the Federal Republic.
16;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Future Plans of Young People at Special Schools of Emotional and Social Development;https://doi.org/10.4232/1.6409;ZA6409;doi;True;ZA6262;0;0;1;0;0;1;1;This dataset (GESIS study ZA6409) is archived in the GESIS Data Archive and accessible through the CESSDA Data Catalogue, containing survey data on the future plans and aspirations of young people attending special educational needs schools focused on emotional and social development.
17;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Citizen Survey Duisburg (Spring 2000);https://doi.org/10.4232/1.3468;ZA3468;doi;True;ZA3468;1;1;1;1;1;1;0;This dataset, titled Citizen Survey Duisburg (Spring 2000) (or Duisburger Bürgerumfrage (Frühjahr 2000)), is archived at the GESIS Data Archive under study number ZA3468 and accessible via DOI 10.4232/1.3468.
18;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Flash Eurobarometer 10 (Managers);https://doi.org/10.4232/1.2146;ZA2146;doi;True;ZA2146;1;1;1;1;1;1;0;This is the official DOI for the Flash Eurobarometer 10 (Managers) survey dataset (Study No. ZA2146) archived at the GESIS Data Archive for the Social Sciences.
19;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Labour market policy in the German Empire (Arbeitsmarktpolitik im Deutschen Kaiserreich);https://histat.gesis.org/;ZA8423;title_fuzzy;False;ZA8423;1;0;1;1;0;1;0;The dataset 'Labour market policy in the German Empire' (Arbeitsmarktpolitik im Deutschen Kaiserreich), authored by Anselm Faust and cataloged as GESIS Study ZA8423, provides historical time-series statistics on employment policy, job placement, public works, and unemployment assistance in Germany from 1864 to 1928.
21;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84);https://doi.org/10.4232/1.7140;ZA7140;doi;True;ZA7140;1;1;1;1;1;1;0;This dataset is archived in the GESIS Data Archive as part of the data pool on GDR television audience research (ZA7000–ZA7464) under study number ZA7140 with DOI 10.4232/1.7140.
22;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria;https://doi.org/10.4232/1.1671;ZA1671;doi;True;ZA5003;0;0;1;0;0;1;1;This dataset study (GESIS Study ZA1671) is archived in the GESIS Data Archive for the Social Sciences and listed in the CESSDA Data Catalogue, focusing on small-scale enterprises and women's roles in the informal sector in Ajegunle, Nigeria.
23;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;The CFS's (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.;https://doi.org/10.4232/1.8286;ZA8286;doi;True;ZA8286;1;1;1;1;1;1;0;This historical financial dataset covers German money and capital market data from 1871 to 1914 compiled by the Center for Financial Studies (CFS) and archived at GESIS under study number ZA8286.
24;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;The Death Penalty (1978);https://doi.org/10.4232/1.0977;ZA0977;doi;True;ZA0977;1;1;1;1;1;1;0;This dataset, archived by GESIS and indexed in the CESSDA Data Catalogue, contains survey data collected by EMNID on public attitudes toward the death penalty for murder in 1978.
25;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Social Situation and Political Orientations of the Jena Populace before the Municipal Election in May 1990;https://doi.org/10.4232/1.6350;ZA6350;doi;True;ZA6350;1;1;1;1;1;1;0;This is the permanent DOI link for the dataset 'Social Situation and Political Orientations of the Jena Populace before the Municipal Election in May 1990' (GESIS ZA6350).
26;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Decatur Study (Personal Influence);https://doi.org/10.4232/1.0241;ZA0241;doi;True;ZA0241;1;1;1;1;1;1;0;The classic dataset from the 1945 study by Elihu Katz and Paul F. Lazarsfeld on interpersonal communication and two-step flow of influence in Decatur, Illinois, is archived at the GESIS Data Archive under DOI 10.4232/1.0241 and available via the CESSDA Data Catalogue.
27;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Cologne Study (Köln-Studie / Leseranalyse Kölner Stadt-Anzeiger);https://doi.org/10.4232/1.2795;ZA2795;doi;True;ZA1635;0;0;0;0;0;0;0;This dataset, archived in the GESIS Data Archive for Social Sciences under Study No. ZA2795 and cataloged in CESSDA, contains the survey data for the Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger) conducted by FORSA.
28;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;LPA-AFLEK - Learning Progression Analytics - Analyse und Förderung von Lernverläufen zur Entwicklung von Kompetenzen;https://www.forschungsdaten-bildung.de;;unmatched;False;ZA8874;0;0;0;0;0;0;0;This dataset and study entry for the LPA-AFLEK project ('Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills') is archived and documented on the Forschungsdaten Bildung platform (VerbundFDB).
29;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Trend Questions Corona (Week 13/2020);https://doi.org/10.4232/1.13581;ZA7652;doi;True;ZA7652;1;1;1;1;1;1;0;This dataset (GESIS study ZA7652) contains representative survey data collected by forsa on behalf of the Press and Information Office of the German Federal Government during calendar week 13 of 2020, focusing on public attitudes and responses to the COVID-19 pandemic.
30;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Preparatory Investigation according to the Law to Promote Urban Development (Municipality Data);https://doi.org/10.4232/1.1157;ZA1157;doi;True;ZA1157;1;1;1;1;1;1;0;This dataset is archived in the GESIS Data Archive (Study No. ZA1157) and contains municipality data from preparatory investigations conducted under the German urban development promotion law.
31;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;German Internet Panel, Wave 51 (January 2021);https://doi.org/10.4232/1.13833;ZA7759;doi;True;ZA7759;1;1;1;1;1;1;0;This is the primary DOI assigned to the German Internet Panel, Wave 51 (January 2021) survey dataset archived and distributed by the GESIS Data Archive for the Social Sciences.
32;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Forsa-Bus 1992;https://doi.org/10.4232/1.10247;ZA3300;doi;True;ZA3300;1;1;1;1;1;1;0;Forsa-Bus 1992 is a German survey dataset conducted by FORSA and archived at the GESIS Data Archive for Social Sciences (Study Number ZA3300).
33;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Flash Eurobarometer 550 (EU Challenges and Priorities);https://doi.org/10.4232/1.14410;ZA8870;doi;True;ZA8870;1;1;1;1;1;1;0;This dataset (GESIS Study ZA8870) contains the survey data and documentation for Flash Eurobarometer 550, conducted in June-July 2024 on citizens' perceptions of EU challenges and priorities.
34;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Situation Report Medium-Sized Companies 1991/20;https://doi.org/10.4232/1.0106;ZA0106;doi;True;ZA2326;0;0;1;0;0;1;1;This dataset, titled 'Situation Report Medium-Sized Companies 1991/20' (ZA0106), covers the economic situation of Rhenish-Westphalian medium-sized companies and is archived in the GESIS Data Archive under DOI 10.4232/1.0106.
35;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Spring Study 1998 (Frühjahrsstudie 1998);https://catalogue.cessda.eu/;ZA4914;title_exact;False;ZA4914;1;0;1;1;0;1;0;The dataset titled Spring Study 1998 (German title: Frühjahrsstudie 1998) is a social science survey dataset conducted by the Konrad-Adenauer-Stiftung and published/cataloged by the GESIS Data Archive in the CESSDA Data Catalogue.
36;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;The Berlin Pulse - German Foreign Policy 2024;https://doi.org/10.4232/1.14624;ZA8996;doi;True;ZA8996;1;1;1;1;1;1;0;This dataset contains public opinion survey data on German foreign policy conducted by Verian on behalf of the Körber-Stiftung in September 2024. It is archived at the GESIS Data Archive for the Social Sciences and indexed in the CESSDA Data Catalogue.
38;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use;https://doi.org/10.4232/1.13731;ZA7746;doi;True;ZA7746;1;1;1;1;1;1;0;This dataset (study number ZA7746) contains the full on-site version of the German Business Panel Covid-19 survey data (2020/2021), archived and made accessible via GESIS Data Archive for research in secure data environments.
39;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006;https://doi.org/10.4232/1.12403;ZA8614;doi;True;ZA8614;1;1;1;1;1;1;0;This GESIS dataset compiled by Jürgen Sensch provides historical statistics and time series data on wage and salary indices in Germany covering the period 1913/14 to 2006.
40;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States);https://doi.org/10.4232/1.4456;ZA4456;doi;True;ZA4456;1;1;1;1;1;1;0;This is the official DOI for the Flash Eurobarometer 197 dataset (GESIS Study ID ZA4456), which measures satisfaction with European Commission Representations across 11 Member States.
41;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;German General Social Survey - ALLBUScompact 2018;https://doi.org/10.4232/1.13273;ZA5271;doi;True;ZA5273;0;0;1;0;0;1;1;This is the official persistent identifier (DOI) for the German General Social Survey - ALLBUScompact 2018 dataset (GESIS Study No. ZA5271).
42;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;MEDem User Survey 2024;https://doi.org/10.7802/2839;SDN-10.7802-2839;title_exact;False;SDN-10.7802-2839;1;0;1;1;0;1;0;This dataset, hosted by GESIS - Leibniz Institute for the Social Sciences and created by Selcuk Uluer and Lea Kaftan, contains survey responses regarding the needs and demands of potential users of the Monitoring Electoral Democracy (MEDem) research infrastructure.
43;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Foreigners in Eastern Germany 1990 (Ausländer in Ostdeutschland 1990);https://doi.org/10.4232/1.6342;ZA6342;doi;True;ZA6342;1;1;1;1;1;1;0;This dataset, created by the Berliner Institut für Sozialwissenschaftliche Studien (BISS) and archived at the GESIS Data Archive for the Social Sciences, captures survey data on living conditions, migration intentions, and intergroup relations of foreign nationals in Eastern Germany in 1990.
44;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Monitor Digitalisierung 360° - WiSe 2023/24;https://doi.org/10.7802/2534;SDN-10.7802-2534;doi;True;SDN-10.7802-2822;0;0;1;0;0;1;1;This dataset, available through GESIS and the CESSDA Data Catalogue under DOI 10.7802/2534, contains survey data on the state of digitalization in higher education teaching and learning in Germany for the Winter Semester 2023/24 (WiSe 2023/24), commissioned by Hochschulforum Digitalisierung.
45;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG;https://doi.org/10.4232/1.0265;ZA0265;doi;True;ZA0265;1;1;1;1;1;1;0;This dataset (GESIS Study No. ZA0265) contains reader analysis and survey data for the Mannesmann company magazine 'UNSER WERKTAG' and is archived by GESIS.
46;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.;https://doi.org/10.7802/1754;SDN-10.7802-1754;title_exact;False;SDN-10.7802-1754;1;0;1;1;0;1;0;This dataset, created by Silvia Bolgherini, Mattia Casula, and Mariano Marotta (2018), provides detailed historical data on Italian municipal unions and intermunicipal cooperation forms from 1996 to 2015, archived and downloadable via the GESIS Data Archive.
47;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Election Study 1994: Politbarometer West 1994 (Trend Investigations);https://doi.org/10.4232/1.2546;ZA2546;doi;True;ZA2546;1;1;1;1;1;1;0;This is the official DOI assigned by the GESIS Data Archive for the dataset titled Election Study 1994: Politbarometer West 1994 (Trend Investigations) (ZA2546).
48;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Universities in the Federal Republic of Germany 1949-2001;https://doi.org/10.4232/1.8202;ZA8202;doi;True;ZA8202;1;1;1;1;1;1;0;This dataset (GESIS Study No. ZA8202), compiled by Peter Lundgreen and Gudrun Schwibbe, covers higher education statistics for Germany between 1949 and 2001 and is archived in the GESIS Data Archive.
49;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;The Growth of the German Economy since the Middle of the 19th Century. Chapter: Population and Employment;https://doi.org/10.4232/1.8256;ZA8256;doi;True;ZA8256;1;1;1;1;1;1;0;This dataset (GESIS Study No. ZA8256) represents a thematic extract from Walther G. Hoffmann's 1965 comprehensive study on long-term German economic growth, providing historical time series data on population and employment between 1817 and 1961.
50;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Social Structure in the Lignite Area West of the Rhine (Relocated Villages);https://doi.org/10.4232/1.1216;ZA1216;doi;True;ZA0167;0;0;1;0;0;1;1;This dataset, archived in the GESIS Data Archive for the Social Sciences under Study No. ZA1216 (German title: Sozialstruktur im linksrheinischen Braunkohlengebiet - Umgesiedelte Orte), provides survey data on the social structure of relocated villages in the Rhenish lignite mining region.
51;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;education and life satisfaction data;https://doi.org/10.6084/m9.figshare.19728106;SDN-10.7802-1628;title_fuzzy;False;ZA1441;0;0;0;0;0;0;0;A dataset hosted on Figshare containing empirical data on education levels and life satisfaction scores.
51;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;2;World Inequality Database on Education (WIDE);https://www.education-inequalities.org/;SDN-10.7802-2786;title_fuzzy;False;ZA1441;0;0;0;0;0;0;0;A database maintained by UNESCO that tracks how circumstances such as wealth, gender, and location shape individuals' opportunities for education and life.
51;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;3;The ifo Education Survey 2014–2021: A New Dataset on Public Preferences for Education Policy in Germany;https://www.ifo.de/en/publikationen/2022/working-paper/ifo-education-survey-2014-2021-new-dataset-public-preferences;ZA5679;title_exact;False;ZA1441;0;0;0;0;0;0;0;A comprehensive survey dataset covering public opinion on education policy, early childhood education, schooling, and life-long learning.
52;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;CROCorp: Corpus of Parliamentary Debates in Croatia;https://doi.org/10.5281/zenodo.6521372;SDN-10.7802-2388;title_exact;False;SDN-10.7802-2388;1;0;1;1;0;1;0;This Zenodo repository contains the cleaned and pre-processed corpus of parliamentary debates from the Croatian Parliament (Sabor) covering the period 2003–2020, published by Michal Mochtak, Josip Glaurdić, and Christophe Lesschaeve.
53;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Crisis Monitor (Week 8/2024);https://doi.org/10.4232/1.14353;ZA8738;doi;True;ZA8738;1;1;1;1;1;1;0;The dataset 'Crisis Monitor (Week 8/2024)' (GESIS Study ZA8738) contains representative survey data collected by forsa on behalf of the Press and Information Office of the German Federal Government, deposited and accessible at the GESIS Data Archive.
54;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Attitude to Demonstrations and to the SDS;https://doi.org/10.4232/1.0321;ZA0321;doi;True;ZA0322;0;0;1;0;0;1;1;This dataset (GESIS Study No. ZA0321), conducted by EMNID in May 1968, measures public attitudes towards student demonstrations, government responses, and the Socialist German Student Union (SDS) in West Germany.
55;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Partner III - Lehrlinge 1990 (Partners III - Apprentices 1990);https://doi.org/10.4232/1.6146;ZA6146;doi;True;ZA6146;1;1;1;1;1;1;0;This dataset, conducted in 1990 by the Zentralinstitut für Jugendforschung (ZIJ), Leipzig, is cataloged in GESIS and CESSDA archives under study number ZA6146 as 'Partner III - Lehrlinge 1990' (translated in English catalogues as 'Partners III - Apprentices 1990').
56;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Politbarometer (October 1987);https://doi.org/10.4232/1.1648;ZA1648;doi;True;ZA1648;1;1;1;1;1;1;0;This dataset belongs to the monthly Politbarometer survey series conducted by Forschungsgruppe Wahlen in October 1987 and archived at the GESIS Data Archive.
57;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Group-oriented animosity against people (GMF-Survey 2010);https://doi.org/10.4232/1.11806;ZA5575;doi;True;ZA5575;1;1;1;1;1;1;0;This dataset, available from the GESIS Data Archive (Study No. ZA5575), contains the survey data from the 2010 wave of the Group-oriented animosity against people (Gruppenbezogene Menschenfeindlichkeit) research project.
58;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Schoolchildren Interval Study Health Education and Maintaining Health 1987 to 1991 (Waves 1 to 3);https://doi.org/10.4232/1.6563;ZA6563;doi;True;ZA6563;1;1;1;1;1;1;0;This is the official DOI link to the dataset preserved in the GESIS Data Archive for the Social Sciences (ZA6563).
59;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Social and Political Attitudes 2024 (Cumulated Data Set);https://datacatalogue.cessda.eu/;ZA8737;title_exact;False;ZA8737;1;0;1;1;0;1;0;This dataset (German title: Gesellschaftliche und politische Einstellungen 2024 (Kumulierter Datensatz)) contains survey data collected by forsa on behalf of the Press and Information Office of the Federal Government of Germany (Presse- und Informationsamt der Bundesregierung) regarding public evaluations of living conditions, political satisfaction, and global affairs. It is cataloged and accessible via the CESSDA Data Catalogue and GESIS.
60;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Sofortresonanzen DDR Fernsehen 30. Woche 1984 (SFR 30/84);https://doi.org/10.4232/1.7131;ZA7131;doi;True;ZA7131;1;1;1;1;1;1;0;This is the official DOI link to the GESIS Data Archive study ZA7131, containing the dataset 'Sofortresonanzen DDR Fernsehen 30. Woche 1984 (SFR 30/84)'.
61;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Persönlichkeit, Motive, und Humankapital als Prädikatoren für den Geschäftserfolg (Personality, Motives, and Human Capital as Explanations for Business Success);https://doi.org/10.4232/1.4659;ZA4659;doi;True;ZA4659;1;1;1;1;1;1;0;This dataset, created by Heinz Klandt and archived at the GESIS Data Archive under Study Number ZA4659, examines individual personality traits, motives, and human capital as explanations/predictors for business success.
62;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Code/Syntax: Homeoffice und suchthaftes Arbeiten in Deutschland;https://datacatalogue.cessda.eu/;SDN-10.7802-2567;title_exact;False;SDN-10.7802-2567;1;0;1;1;0;1;0;This entry represents the replication syntax dataset created by Christian Ebner, Beatrice van Berk, and Daniela Rohrbach-Schmidt, hosted via GESIS Leibniz Institute for the Social Sciences and cataloged in the CESSDA Data Catalogue.
63;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Children and Youth Leisure Survey: 10-29-Year-Olds 2018;https://urn.fi/urn:nbn:fi:fsd:T-FSD3535;ZA1253;title_fuzzy;False;ZA0527;0;0;0;0;0;0;0;This dataset from the Finnish Social Science Data Archive (FSD3535) specifically investigates participation in organized leisure time groups, physical activity, and media habits among children and young people.
63;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;2;Children and Youth Leisure Survey 2016;https://urn.fi/urn:nbn:fi:fsd:T-FSD3129;ZA1240;title_exact;False;ZA0527;0;0;0;0;0;0;0;A dataset archived at the Finnish Social Science Data Archive (FSD3129) that surveys youth participation in organized leisure time activities, sports teams, clubs, and informal free time.
63;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;3;Re-Imagining youth leisure in Glasgow 2014-2015;https://doi.org/10.5255/UKDA-SN-852666;;unmatched;False;ZA0527;0;0;0;0;0;0;0;A UK Data Service dataset exploring young people's engagement in organized and unorganized leisure activities, spaces, and sociocultural experiences.
64;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Sofortresonanzen DDR Fernsehen 51. Woche 1985 (SFR 51/85);https://doi.org/10.4232/1.7204;ZA7204;doi;True;ZA7204;1;1;1;1;1;1;0;This is the official DOI landing page for the dataset titled 'Sofortresonanzen DDR Fernsehen 51. Woche 1985 (SFR 51/85)' (Study number ZA7204) hosted by GESIS Data Archive.
65;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;GERDA: The German Election Database;https://doi.org/10.1038/s41597-025-04811-5;SDN-10.7802-2786;title_fuzzy;False;ZA5642;0;0;0;0;0;0;0;GERDA is a comprehensive database of German elections that provides harmonized electoral turnout and party vote share data at the municipal level for German state elections, including the 2012 Saarland state election.
