query_id;query_text;full_prompt_no_web;full_prompt_web_search;query_variant;query_topics;query_countries;query_time_collection_years;query_time_display;query_universe;query_analysis_units;abstract_generated_query;abstract_query_generator_model;abstract_source_hash;source_dataset_id;source_title;source_doi;source_portal_url;source_row
20;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Data on audience participation and television viewing, including evaluation of specific TV programs and presenters, reasons for watching, perceived realism, household media equipment, cinema attendance, TV schedule awareness, and viewer demographics.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Data on audience participation and television viewing, including evaluation of specific TV programs and presenters, reasons for watching, perceived realism, household media equipment, cinema attendance, TV schedule awareness, and viewer demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Data on audience participation and television viewing, including evaluation of specific TV programs and presenters, reasons for watching, perceived realism, household media equipment, cinema attendance, TV schedule awareness, and viewer demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Media""]";"[""German Democratic Republic (1949-1990)""]";"[""1984"", ""1984""]";1980s;;;Data on audience participation and television viewing, including evaluation of specific TV programs and presenters, reasons for watching, perceived realism, household media equipment, cinema attendance, TV schedule awareness, and viewer demographics.;gpt-5.4;fa0023b66bb4881c223ad345b73dd9a88feefa7b62c5dd34d8c10d70800f0473;ZA7140;Sofortresonanzen DDR Fernsehen 39. Woche 1984 (SFR 39/84);"[""10.4232/1.7140""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7140&db=D;22
21;Can you find datasets about Employment, Community, urban and rural life, TRADE, INDUSTRY AND MARKETS, and Specific social services: use and availability in Lagos during the 1980s, matching this research need: Data on women in Ajegunle’s informal sector covering household living conditions, migration, housing, education, occupations, savings and union membership, finances, and income or business activities of shopkeepers, craftswomen, employed, and unemployed women.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Employment, Community, urban and rural life, TRADE, INDUSTRY AND MARKETS, and Specific social services: use and availability in Lagos during the 1980s, matching this research need: Data on women in Ajegunle’s informal sector covering household living conditions, migration, housing, education, occupations, savings and union membership, finances, and income or business activities of shopkeepers, craftswomen, employed, and unemployed women.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Employment, Community, urban and rural life, TRADE, INDUSTRY AND MARKETS, and Specific social services: use and availability in Lagos during the 1980s, matching this research need: Data on women in Ajegunle’s informal sector covering household living conditions, migration, housing, education, occupations, savings and union membership, finances, and income or business activities of shopkeepers, craftswomen, employed, and unemployed women.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Employment"", ""Community, urban and rural life"", ""TRADE, INDUSTRY AND MARKETS"", ""Specific social services: use and availability""]";"[""Lagos""]";"[""1983"", ""1983""]";1980s;;;Data on women in Ajegunle’s informal sector covering household living conditions, migration, housing, education, occupations, savings and union membership, finances, and income or business activities of shopkeepers, craftswomen, employed, and unemployed women.;gpt-5.4;eb27013f8bccd55110670414bc749b504e4616ded163c83cfe043cb203d0805c;ZA5003;The Role of Women in the Informal sector: The Case of Ajegunle, Nigeria;"[""10.4232/1.5003""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5003&db=D;23
22;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1870s and 1880s and 1890s and 1900s and 1910s, matching this research need: Historical German money and capital market time series, 1871–1914: interest rates, stock prices, income returns, and stock exchange data across major financial centers and industries before World War I.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about HISTORY in German Reich (1871-1945) during the 1870s and 1880s and 1890s and 1900s and 1910s, matching this research need: Historical German money and capital market time series, 1871–1914: interest rates, stock prices, income returns, and stock exchange data across major financial centers and industries before World War I.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about HISTORY in German Reich (1871-1945) during the 1870s and 1880s and 1890s and 1900s and 1910s, matching this research need: Historical German money and capital market time series, 1871–1914: interest rates, stock prices, income returns, and stock exchange data across major financial centers and industries before World War I.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""HISTORY""]";"[""German Reich (1871-1945)""]";"[""1871"", ""1914""]";1870s and 1880s and 1890s and 1900s and 1910s;;;Historical German money and capital market time series, 1871–1914: interest rates, stock prices, income returns, and stock exchange data across major financial centers and industries before World War I.;gpt-5.4;b2bbf91f7f747ae06cf849ca99e51ab781f3b50d40b973c54fe3f3ddc2c8f3cd;ZA8286;The CFS’s (Center for Financial Studies) historical money and capital market data base, Germany 1871 to 1914.;"[""10.4232/1.8286""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8286&db=D;24
23;Can you find datasets about Crime and law enforcement in Germany during the 1970s, matching this research need: Survey data on public attitudes toward the death penalty for murder, with demographic variables such as age, sex, marital status, religion, education, occupation, income, household composition, city size, and state.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Crime and law enforcement in Germany during the 1970s, matching this research need: Survey data on public attitudes toward the death penalty for murder, with demographic variables such as age, sex, marital status, religion, education, occupation, income, household composition, city size, and state.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Crime and law enforcement in Germany during the 1970s, matching this research need: Survey data on public attitudes toward the death penalty for murder, with demographic variables such as age, sex, marital status, religion, education, occupation, income, household composition, city size, and state.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Crime and law enforcement""]";"[""Germany""]";"[""1978"", ""1978""]";1970s;;;Survey data on public attitudes toward the death penalty for murder, with demographic variables such as age, sex, marital status, religion, education, occupation, income, household composition, city size, and state.;gpt-5.4;a5528a32ef8a306da637749ca4d3a8ffbf3cc46c5ab4c988449d9d19f8fe6400;ZA0977;The Death Penalty (1978);"[""10.4232/1.0977""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0977&db=D;25
24;Can you find datasets about Community, urban and rural life, Political behaviour and attitudes, Government, political systems and organisations, and Elections in German Democratic Republic (1949-1990) during the 1990s, matching this research need: data on political attitudes in East and West Germany around reunification, including views of governments and parties, voting decisions in local elections, job mobility, retraining, unemployment, housing, transport, and citizen participation;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Community, urban and rural life, Political behaviour and attitudes, Government, political systems and organisations, and Elections in German Democratic Republic (1949-1990) during the 1990s, matching this research need: data on political attitudes in East and West Germany around reunification, including views of governments and parties, voting decisions in local elections, job mobility, retraining, unemployment, housing, transport, and citizen participation
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Community, urban and rural life, Political behaviour and attitudes, Government, political systems and organisations, and Elections in German Democratic Republic (1949-1990) during the 1990s, matching this research need: data on political attitudes in East and West Germany around reunification, including views of governments and parties, voting decisions in local elections, job mobility, retraining, unemployment, housing, transport, and citizen participation
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Community, urban and rural life"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]";"[""German Democratic Republic (1949-1990)""]";"[""1990"", ""1990""]";1990s;;;data on political attitudes in East and West Germany around reunification, including views of governments and parties, voting decisions in local elections, job mobility, retraining, unemployment, housing, transport, and citizen participation;gpt-5.4;4cbb7f58fe9e23068cc776d2cfb848ac5728582755313a1f121a61c3b5dab527;ZA6350;Social Situation and Political Orientations of the Jena  Populace before the Municipal Election in May 1990;"[""10.4232/1.6350""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6350&db=D;26
25;Can you find datasets about MEDIA, COMMUNICATION AND LANGUAGE and SOCIAL STRATIFICATION AND GROUPINGS in Illinois during the 1940s, matching this research need: survey data on opinion leaders’ influence on consumer behavior, fashion, political attitudes, moviegoing, media use, social networks, and named influential contacts, including follow-up interviews with those identified opinion leaders;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about MEDIA, COMMUNICATION AND LANGUAGE and SOCIAL STRATIFICATION AND GROUPINGS in Illinois during the 1940s, matching this research need: survey data on opinion leaders’ influence on consumer behavior, fashion, political attitudes, moviegoing, media use, social networks, and named influential contacts, including follow-up interviews with those identified opinion leaders
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about MEDIA, COMMUNICATION AND LANGUAGE and SOCIAL STRATIFICATION AND GROUPINGS in Illinois during the 1940s, matching this research need: survey data on opinion leaders’ influence on consumer behavior, fashion, political attitudes, moviegoing, media use, social networks, and named influential contacts, including follow-up interviews with those identified opinion leaders
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""MEDIA, COMMUNICATION AND LANGUAGE"", ""SOCIAL STRATIFICATION AND GROUPINGS""]";"[""Illinois""]";"[""1945"", ""1945""]";1940s;;;survey data on opinion leaders’ influence on consumer behavior, fashion, political attitudes, moviegoing, media use, social networks, and named influential contacts, including follow-up interviews with those identified opinion leaders;gpt-5.4;fc21f3504da253620eb173bb9dcfe0c6a92aa396d58948f6fc0a7d8de46a47b2;ZA0241;Decatur Study (Personal Influence);"[""10.4232/1.0241""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0241&db=D;27
26;Can you find datasets about Leisure, tourism and sport, Community, urban and rural life, TRANSPORT AND TRAVEL, and Consumption and consumer behaviour in North Rhine-Westphalia during the 1980s, matching this research need: Survey data on leisure activities, shopping and consumer habits, household appliances and media ownership, commuting and transport, vacation travel, car ownership, housing conditions, and socio-demographics in the Cologne newspaper readership area.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Leisure, tourism and sport, Community, urban and rural life, TRANSPORT AND TRAVEL, and Consumption and consumer behaviour in North Rhine-Westphalia during the 1980s, matching this research need: Survey data on leisure activities, shopping and consumer habits, household appliances and media ownership, commuting and transport, vacation travel, car ownership, housing conditions, and socio-demographics in the Cologne newspaper readership area.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Leisure, tourism and sport, Community, urban and rural life, TRANSPORT AND TRAVEL, and Consumption and consumer behaviour in North Rhine-Westphalia during the 1980s, matching this research need: Survey data on leisure activities, shopping and consumer habits, household appliances and media ownership, commuting and transport, vacation travel, car ownership, housing conditions, and socio-demographics in the Cologne newspaper readership area.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Leisure, tourism and sport"", ""Community, urban and rural life"", ""TRANSPORT AND TRAVEL"", ""Consumption and consumer behaviour""]";"[""North Rhine-Westphalia""]";"[""1986"", ""1986""]";1980s;;;Survey data on leisure activities, shopping and consumer habits, household appliances and media ownership, commuting and transport, vacation travel, car ownership, housing conditions, and socio-demographics in the Cologne newspaper readership area.;gpt-5.4;b6597e60410766120107ad2b201bd1327b39c97a7d5346f0e7ab3b7d695e78ba;ZA1635;Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger);"[""10.4232/1.1635""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1635&db=D;28
27;Can you find datasets about Compulsory and pre-school education in Schleswig-Holstein during the 2020s, matching this research need: data on students’ learning trajectories in digital physics lessons, including learning difficulties, competence development, learning analytics, and near real-time teacher dashboard feedback to identify productive versus unproductive classroom learning paths;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Compulsory and pre-school education in Schleswig-Holstein during the 2020s, matching this research need: data on students’ learning trajectories in digital physics lessons, including learning difficulties, competence development, learning analytics, and near real-time teacher dashboard feedback to identify productive versus unproductive classroom learning paths
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Compulsory and pre-school education in Schleswig-Holstein during the 2020s, matching this research need: data on students’ learning trajectories in digital physics lessons, including learning difficulties, competence development, learning analytics, and near real-time teacher dashboard feedback to identify productive versus unproductive classroom learning paths
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Compulsory and pre-school education""]";"[""Schleswig-Holstein""]";"[""2021"", ""2023""]";2020s;;;data on students’ learning trajectories in digital physics lessons, including learning difficulties, competence development, learning analytics, and near real-time teacher dashboard feedback to identify productive versus unproductive classroom learning paths;gpt-5.4;b3b335e1f0d51fb20414975e024f8690827c610a356d30c31113c76f0d5a4485;ZA8874;Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK);"[""10.4232/1.14414""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8874&db=D;29
28;Can you find datasets about Specific diseases, disorders and medical conditions, MEDIA, COMMUNICATION AND LANGUAGE, Working conditions, and Health care services and policies in Germany during the 2020s, matching this research need: Representative German population survey data on COVID-19 attitudes and behaviors: infection worries, perceived information, evaluations of government containment measures, work-from-home status, and demographics including region, party preference, and survey weights.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Specific diseases, disorders and medical conditions, MEDIA, COMMUNICATION AND LANGUAGE, Working conditions, and Health care services and policies in Germany during the 2020s, matching this research need: Representative German population survey data on COVID-19 attitudes and behaviors: infection worries, perceived information, evaluations of government containment measures, work-from-home status, and demographics including region, party preference, and survey weights.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Specific diseases, disorders and medical conditions, MEDIA, COMMUNICATION AND LANGUAGE, Working conditions, and Health care services and policies in Germany during the 2020s, matching this research need: Representative German population survey data on COVID-19 attitudes and behaviors: infection worries, perceived information, evaluations of government containment measures, work-from-home status, and demographics including region, party preference, and survey weights.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Specific diseases, disorders and medical conditions"", ""MEDIA, COMMUNICATION AND LANGUAGE"", ""Working conditions"", ""Health care services and policies""]";"[""Germany""]";"[""2020"", ""2020""]";2020s;;;Representative German population survey data on COVID-19 attitudes and behaviors: infection worries, perceived information, evaluations of government containment measures, work-from-home status, and demographics including region, party preference, and survey weights.;gpt-5.4;b8d3c68dd429d4cfaa3737823a8b43b085831f3f33bba52555ac9296abfe3fd5;ZA7652;Trend Questions Corona (Week 13/2020);"[""10.4232/1.13581""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7652&db=D;30
29;Can you find datasets about Community, urban and rural life and Land use and planning in Germany during the 1960s, matching this research need: Aggregate data on urban renewal areas in West Germany, covering building density, land and building conditions, housing quality, business structure, employment, household composition, foreign residents, age groups, tenancy, and planning/social survey availability.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Community, urban and rural life and Land use and planning in Germany during the 1960s, matching this research need: Aggregate data on urban renewal areas in West Germany, covering building density, land and building conditions, housing quality, business structure, employment, household composition, foreign residents, age groups, tenancy, and planning/social survey availability.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Community, urban and rural life and Land use and planning in Germany during the 1960s, matching this research need: Aggregate data on urban renewal areas in West Germany, covering building density, land and building conditions, housing quality, business structure, employment, household composition, foreign residents, age groups, tenancy, and planning/social survey availability.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Community, urban and rural life"", ""Land use and planning""]";"[""Germany""]";"[""1968"", ""1968""]";1960s;;;Aggregate data on urban renewal areas in West Germany, covering building density, land and building conditions, housing quality, business structure, employment, household composition, foreign residents, age groups, tenancy, and planning/social survey availability.;gpt-5.4;d81616b95ada264a3851f09425ccdb1577ce97e6c1a9a98bce1786ed93cb7ca6;ZA1157;Preparatory Investigation according to the Law to Promote Urban  Development (Municipality Data);"[""10.4232/1.1157""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1157&db=D;31
30;Can you find datasets about Migration, Physical fitness and exercise, Specific diseases, disorders and medical conditions, Government, political systems and organisations, Political behaviour and attitudes, Social welfare policy, Specific social services: use and availability, and Employment in Germany during the 2020s, matching this research need: Longitudinal German panel data on individual attitudes and preferences relevant to political and economic decision-making, collected online from the general population.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Migration, Physical fitness and exercise, Specific diseases, disorders and medical conditions, Government, political systems and organisations, Political behaviour and attitudes, Social welfare policy, Specific social services: use and availability, and Employment in Germany during the 2020s, matching this research need: Longitudinal German panel data on individual attitudes and preferences relevant to political and economic decision-making, collected online from the general population.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Migration, Physical fitness and exercise, Specific diseases, disorders and medical conditions, Government, political systems and organisations, Political behaviour and attitudes, Social welfare policy, Specific social services: use and availability, and Employment in Germany during the 2020s, matching this research need: Longitudinal German panel data on individual attitudes and preferences relevant to political and economic decision-making, collected online from the general population.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Migration"", ""Physical fitness and exercise"", ""Specific diseases, disorders and medical conditions"", ""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Social welfare policy"", ""Specific social services: use and availability"", ""Employment""]";"[""Germany""]";"[""2021"", ""2021""]";2020s;;;Longitudinal German panel data on individual attitudes and preferences relevant to political and economic decision-making, collected online from the general population.;gpt-5.4;eeccabd2e81a179d5b148e081f467ef0e653cec4a5814284d908f130b6dfe4ec;ZA7759;German Internet Panel, Wave 51 (January 2021);"[""10.4232/1.13833"", ""10.4232/1.13773""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7759&db=D;32
31;Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, Elections, and Economic systems and development in Germany during the 1990s, matching this research need: Representative daily telephone survey data from 1991 onward on eligible voters’ political preferences, party and candidate support, attitudes on political and social issues, and past election voting behavior.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, Elections, and Economic systems and development in Germany during the 1990s, matching this research need: Representative daily telephone survey data from 1991 onward on eligible voters’ political preferences, party and candidate support, attitudes on political and social issues, and past election voting behavior.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, Elections, and Economic systems and development in Germany during the 1990s, matching this research need: Representative daily telephone survey data from 1991 onward on eligible voters’ political preferences, party and candidate support, attitudes on political and social issues, and past election voting behavior.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic systems and development""]";"[""Germany""]";"[""1992"", ""1992""]";1990s;;;Representative daily telephone survey data from 1991 onward on eligible voters’ political preferences, party and candidate support, attitudes on political and social issues, and past election voting behavior.;gpt-5.4;15067a8475c1f99e68f302c3c13da3115bb41f1520205f2329fb82ad47075334;ZA3300;Forsa-Bus 1992;"[""10.4232/1.10247"", ""10.4232/1.3300""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3300&db=D;33
32;Can you find datasets about International politics and organisations, POLITICS, Conflict, security and peace, Political behaviour and attitudes, and Political ideology in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, and Croatia during the 2020s, matching this research need: data on Europeans’ views of the EU’s main challenges and policy priorities in 2024, including public opinion on key issues facing the European Union;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about International politics and organisations, POLITICS, Conflict, security and peace, Political behaviour and attitudes, and Political ideology in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, and Croatia during the 2020s, matching this research need: data on Europeans’ views of the EU’s main challenges and policy priorities in 2024, including public opinion on key issues facing the European Union
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about International politics and organisations, POLITICS, Conflict, security and peace, Political behaviour and attitudes, and Political ideology in Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, and Croatia during the 2020s, matching this research need: data on Europeans’ views of the EU’s main challenges and policy priorities in 2024, including public opinion on key issues facing the European Union
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""International politics and organisations"", ""POLITICS"", ""Conflict, security and peace"", ""Political behaviour and attitudes"", ""Political ideology""]";"[""Belgium"", ""Bulgaria"", ""Czech Republic"", ""Denmark"", ""Germany"", ""Estonia"", ""Ireland"", ""Greece"", ""Spain"", ""France"", ""Italy"", ""Cyprus"", ""Latvia"", ""Lithuania"", ""Luxembourg"", ""Hungary"", ""Malta"", ""Netherlands"", ""Austria"", ""Poland"", ""Portugal"", ""Romania"", ""Slovenia"", ""Slovakia"", ""Finland"", ""Sweden"", ""Croatia""]";"[""2024"", ""2024""]";2020s;;;data on Europeans’ views of the EU’s main challenges and policy priorities in 2024, including public opinion on key issues facing the European Union;gpt-5.4;ad211192ad3ebc55094e111050814359a2f038c9d8a32a5b6ad566018b27c5f8;ZA8870;Flash Eurobarometer 550 (EU Challenges and Priorities);"[""10.4232/1.14410""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8870&db=D;34
